issn,year,anti_labor,neutral,pro_labor,total_labor,anti_labor_intensity,anti_labor_rr,total_labor_rr,railroad_interest,railroad_interest_level,has_editor,has_publisher,state,year_str,political_affiliation_raw,republican,person_republican,military_service,education_level,year_of_birth,public_office_sought,age,pop_1870,pop_1880,pop_1890,county_pop,log_county_pop,n_other_papers
0034-5075,1871,0,0,2,2,0.0,0,0,1,5,1,1,MAINE,1871,Democratic,0.0,0.0,,0.0,1825.0,0.0,46.0,34522.0,32463.0,27759.0,34316.1,10.443369910781161,1
0034-5075,1872,1,0,1,2,0.5,0,0,1,5,1,1,MAINE,1872,Democratic,0.0,0.0,,0.0,1825.0,0.0,47.0,34522.0,32463.0,27759.0,34110.2,10.437351738778673,1
0034-5075,1873,0,1,0,1,0.0,0,0,1,5,1,1,MAINE,1873,Democratic,0.0,0.0,,0.0,1825.0,0.0,48.0,34522.0,32463.0,27759.0,33904.3,10.431297128982383,1
0034-5075,1877,11,2,1,14,0.7857142857142857,6,6,1,5,1,1,MAINE,1877,Democratic,0.0,0.0,,0.0,1825.0,0.0,52.0,34522.0,32463.0,27759.0,33080.7,10.40670530973599,1
0034-5075,1879,0,1,3,4,0.0,0,0,1,5,1,1,MAINE,1879,Democratic,0.0,0.0,,0.0,1825.0,0.0,54.0,34522.0,32463.0,27759.0,32668.9,10.394178833994598,3
1941-0646,1869,43,65,60,168,0.25595238095238093,6,25,0,0,1,0,NEW YORK,1869,Independent,,1.0,,1.0,1819.0,1.0,50.0,942292.0,1206299.0,1515301.0,942292.0,13.756070484293586,37
1941-0646,1871,36,32,35,103,0.34951456310679613,3,15,0,0,1,0,NEW YORK,1871,Independent,,1.0,,1.0,1819.0,1.0,52.0,942292.0,1206299.0,1515301.0,968692.7,13.783702709513262,179
1941-0646,1873,47,36,36,119,0.3949579831932773,14,31,1,1,1,0,NEW YORK,1873,Independent,,1.0,0.0,1.0,1837.0,1.0,36.0,942292.0,1206299.0,1515301.0,1021494.1,13.836776917403261,213
1941-0646,1876,20,14,15,49,0.40816326530612246,6,14,1,1,1,0,NEW YORK,1876,Independent,,1.0,0.0,1.0,1837.0,1.0,39.0,942292.0,1206299.0,1515301.0,1100696.2,13.911453446657019,280
1941-0646,1877,133,56,57,246,0.540650406504065,75,115,1,1,1,0,NEW YORK,1877,Independent,,1.0,0.0,1.0,1837.0,1.0,40.0,942292.0,1206299.0,1515301.0,1127096.9,13.935155769804952,349
1941-0646,1878,60,42,70,172,0.3488372093023256,7,19,1,1,1,0,NEW YORK,1878,Independent,,1.0,0.0,1.0,1837.0,1.0,41.0,942292.0,1206299.0,1515301.0,1153497.6,13.958309275969594,376
1941-0646,1879,28,27,22,77,0.36363636363636365,4,11,1,1,1,0,NEW YORK,1879,Independent,,1.0,0.0,1.0,1837.0,1.0,42.0,942292.0,1206299.0,1515301.0,1179898.3,13.980938806286904,255
1941-0646,1880,36,54,53,143,0.2517482517482518,1,8,1,1,1,0,NEW YORK,1880,Independent,,1.0,0.0,1.0,1837.0,1.0,43.0,942292.0,1206299.0,1515301.0,1206299.0,14.003067552571949,390
1941-0646,1882,112,113,37,262,0.42748091603053434,30,58,1,1,1,0,NEW YORK,1882,Independent,,1.0,0.0,1.0,1837.0,1.0,45.0,942292.0,1206299.0,1515301.0,1268099.4,14.053029802074073,427
1941-0646,1883,95,150,73,318,0.29874213836477986,30,64,1,1,1,0,NEW YORK,1883,Independent,,1.0,0.0,1.0,1837.0,1.0,46.0,942292.0,1206299.0,1515301.0,1298999.6,14.077104987723512,472
1941-0646,1884,52,79,55,186,0.27956989247311825,7,21,1,1,1,0,NEW YORK,1884,Republican,1.0,1.0,0.0,1.0,1837.0,1.0,47.0,942292.0,1206299.0,1515301.0,1329899.8,14.100614159013997,514
1941-0646,1885,149,102,48,299,0.4983277591973244,25,47,1,1,1,0,NEW YORK,1885,Republican,1.0,1.0,0.0,1.0,1837.0,1.0,48.0,942292.0,1206299.0,1515301.0,1360800.0,14.123583320063789,539
1941-0646,1890,219,204,80,503,0.43538767395626243,74,124,1,1,0,1,NEW YORK,1890,Republican,1.0,1.0,0.0,1.0,1837.0,1.0,53.0,942292.0,1206299.0,1515301.0,1515301.0,14.231124657059363,2
1943-8990,1878,20,19,38,77,0.2597402597402597,2,14,0,0,1,1,,1878,,,1.0,0.0,2.0,1838.0,0.0,40.0,23085.0,45890.0,139796.0,41329.0,10.629319711713425,1
1943-8990,1879,23,24,24,71,0.323943661971831,2,7,0,0,1,1,,1879,,,1.0,0.0,2.0,1838.0,0.0,41.0,23085.0,45890.0,139796.0,43609.5,10.683030295510823,0
1943-8990,1880,23,30,12,65,0.35384615384615387,13,27,0,0,1,1,,1880,,,1.0,0.0,2.0,1838.0,0.0,42.0,23085.0,45890.0,139796.0,45890.0,10.73400250738888,0
1943-8990,1882,46,60,35,141,0.3262411347517731,9,23,0,0,1,1,,1882,,,1.0,0.0,2.0,1838.0,0.0,44.0,23085.0,45890.0,139796.0,64671.2,11.077071250013033,0
1943-8990,1883,66,78,42,186,0.3548387096774194,19,54,0,0,1,1,,1883,,,1.0,0.0,2.0,1838.0,0.0,45.0,23085.0,45890.0,139796.0,74061.8,11.21265515879013,0
1943-8990,1884,0,1,2,3,0.0,0,2,0,0,1,1,,1884,,,1.0,0.0,2.0,1838.0,0.0,46.0,23085.0,45890.0,139796.0,83452.4,11.332031688412798,0
1946-6080,1890,70,78,33,181,0.3867403314917127,20,38,1,5,1,0,TEXAS,1890,Democratic,0.0,,1.0,,,1.0,,5788.0,24671.0,41142.0,41142.0,10.624784776512419,0
1946-6153,1869,3,13,2,18,0.16666666666666666,2,8,1,3,1,1,VIRGINIA,1869,Independent,,,,2.0,1810.0,1.0,59.0,16755.0,17546.0,18597.0,16755.0,9.726452000171411,1
1946-6153,1871,7,11,10,28,0.25,1,8,1,3,1,1,VIRGINIA,1871,Independent,,,,2.0,1810.0,1.0,61.0,16755.0,17546.0,18597.0,16834.1,9.731161870112675,1
1946-6153,1872,16,20,8,44,0.36363636363636365,3,7,1,3,1,1,VIRGINIA,1872,Independent,,,,2.0,1810.0,1.0,62.0,16755.0,17546.0,18597.0,16913.2,9.735849661127325,1
1946-6153,1873,12,17,2,31,0.3870967741935484,3,7,1,3,1,1,VIRGINIA,1873,Independent,,,,2.0,1810.0,1.0,63.0,16755.0,17546.0,18597.0,16992.3,9.740515579253042,2
1946-6153,1876,6,3,0,9,0.6666666666666666,1,1,1,3,1,1,VIRGINIA,1876,Independent,,,,2.0,1810.0,1.0,66.0,16755.0,17546.0,18597.0,17229.6,9.754384113930383,2
1946-6153,1877,61,22,17,100,0.61,44,61,1,3,1,1,VIRGINIA,1877,Independent,,,,2.0,1810.0,1.0,67.0,16755.0,17546.0,18597.0,17308.7,9.758964544252395,2
1946-6153,1878,6,14,6,26,0.23076923076923078,1,6,1,3,1,1,VIRGINIA,1878,Independent,,,,2.0,1810.0,1.0,68.0,16755.0,17546.0,18597.0,17387.8,9.763524089857118,1
1946-6153,1879,1,3,3,7,0.14285714285714285,0,0,1,3,1,1,VIRGINIA,1879,Independent,,,,2.0,1810.0,1.0,69.0,16755.0,17546.0,18597.0,17466.9,9.768062940330422,2
1946-6153,1880,3,4,0,7,0.42857142857142855,1,3,1,3,0,1,VIRGINIA,1880,Independent,,,,2.0,1810.0,1.0,70.0,16755.0,17546.0,18597.0,17546.0,9.772581282688328,1
1946-6153,1882,6,6,3,15,0.4,0,1,1,3,1,1,VIRGINIA,1882,Independent,,,,2.0,1810.0,1.0,72.0,16755.0,17546.0,18597.0,17756.2,9.784490029688643,2
1946-6153,1883,2,3,1,6,0.3333333333333333,0,1,1,3,1,1,VIRGINIA,1883,Independent,,,,2.0,1810.0,1.0,73.0,16755.0,17546.0,18597.0,17861.3,9.79039164013541,2
1946-6153,1884,5,9,25,39,0.1282051282051282,0,3,1,3,1,1,VIRGINIA,1884,Independent,,,,2.0,1810.0,1.0,74.0,16755.0,17546.0,18597.0,17966.4,9.796258625818274,2
1946-6153,1885,7,15,8,30,0.23333333333333334,3,7,1,3,1,1,VIRGINIA,1885,Independent,,,,2.0,1810.0,1.0,75.0,16755.0,17546.0,18597.0,18071.5,9.802091390655757,1
2151-3899,1890,67,84,19,170,0.3941176470588235,23,54,1,5,1,0,CALIFORNIA,1890,Republican,1.0,1.0,0.0,2.0,1815.0,1.0,75.0,26830.0,34390.0,40339.0,40339.0,10.605074021909918,0
2151-3937,1884,4,1,6,11,0.36363636363636365,2,3,1,5,1,1,DISTRICT OF COLUMBIA,1884,,,1.0,1.0,,,,,131700.0,177624.0,230392.0,198731.2,12.199708436847581,14
2151-3937,1885,9,10,1,20,0.45,3,8,1,5,1,1,DISTRICT OF COLUMBIA,1885,,,1.0,1.0,,,,,131700.0,177624.0,230392.0,204008.0,12.225914487743713,12
2151-3937,1890,8,3,7,18,0.4444444444444444,4,5,1,5,1,1,DISTRICT OF COLUMBIA,1890,,,1.0,1.0,,,,,131700.0,177624.0,230392.0,230392.0,12.34753748497882,4
2157-1260,1869,3,7,6,16,0.1875,0,2,0,0,1,1,VIRGINIA,1869,Democratic,0.0,0.0,0.0,0.0,1811.0,1.0,58.0,66179.0,82703.0,103394.0,66179.0,11.100118471056213,4
2157-1260,1871,2,10,6,18,0.1111111111111111,0,3,0,0,1,1,VIRGINIA,1871,Democratic,0.0,0.0,0.0,0.0,1811.0,1.0,60.0,66179.0,82703.0,103394.0,67831.4,11.124780493562008,11
2157-1260,1872,8,13,4,25,0.32,0,2,0,0,1,1,VIRGINIA,1872,Democratic,0.0,0.0,0.0,0.0,1811.0,1.0,61.0,66179.0,82703.0,103394.0,69483.8,11.148848910857186,13
2157-1260,1873,13,10,6,29,0.4482758620689655,3,8,0,0,1,1,VIRGINIA,1873,Democratic,0.0,0.0,0.0,0.0,1811.0,1.0,62.0,66179.0,82703.0,103394.0,71136.2,11.17235162827594,13
2157-1260,1876,0,12,2,14,0.0,0,5,0,0,1,1,VIRGINIA,1876,Democratic,0.0,0.0,0.0,0.0,1811.0,1.0,65.0,66179.0,82703.0,103394.0,76093.4,11.2397168120992,11
2157-1260,1877,39,16,22,77,0.5064935064935064,34,46,0,0,1,1,VIRGINIA,1877,Democratic,0.0,0.0,0.0,0.0,1811.0,1.0,66.0,66179.0,82703.0,103394.0,77745.8,11.261199809289781,20
2157-1260,1878,8,9,13,30,0.26666666666666666,0,1,0,0,1,1,VIRGINIA,1878,Democratic,0.0,0.0,0.0,0.0,1811.0,1.0,67.0,66179.0,82703.0,103394.0,79398.2,11.28223097695307,1
2157-1260,1879,5,12,0,17,0.29411764705882354,1,2,0,0,1,1,VIRGINIA,1879,Democratic,0.0,0.0,0.0,0.0,1811.0,1.0,68.0,66179.0,82703.0,103394.0,81050.6,11.302828929974176,24
2157-3425,1885,28,6,19,53,0.5283018867924528,10,16,1,5,1,0,,1885,,,,,,1853.0,,32.0,18337.0,31977.0,58457.0,45217.0,10.719228401304807,13
2158-2688,1880,10,13,17,40,0.25,2,7,1,4,1,1,PENNSYLVANIA,1880,Democratic,0.0,0.0,,2.0,1836.0,1.0,44.0,121340.0,139447.0,149095.0,139447.0,11.845439879737098,9
2158-2688,1882,19,27,24,70,0.2714285714285714,8,14,1,4,1,1,PENNSYLVANIA,1882,Democratic,0.0,0.0,,2.0,1836.0,1.0,46.0,121340.0,139447.0,149095.0,141376.6,11.859182530772594,9
2158-2688,1883,26,28,9,63,0.4126984126984127,8,16,1,4,1,1,PENNSYLVANIA,1883,Democratic,0.0,0.0,,2.0,1836.0,1.0,47.0,121340.0,139447.0,149095.0,142341.4,11.865983676409783,10
2158-2688,1884,6,11,10,27,0.2222222222222222,1,5,1,4,1,1,PENNSYLVANIA,1884,Democratic,0.0,0.0,,2.0,1836.0,1.0,48.0,121340.0,139447.0,149095.0,143306.2,11.872738878756108,10
2158-2688,1885,0,1,0,1,0.0,0,0,1,4,1,1,PENNSYLVANIA,1885,Democratic,0.0,0.0,,2.0,1836.0,1.0,49.0,121340.0,139447.0,149095.0,144271.0,11.879448754363775,12
2158-2793,1871,0,0,1,1,0.0,0,0,0,0,1,1,OHIO,1871,Democratic,0.0,0.0,0.0,1.0,1819.0,1.0,52.0,52508.0,64031.0,84170.0,53660.3,10.890428714720603,0
2158-2793,1873,1,1,4,6,0.16666666666666666,0,1,0,0,1,1,OHIO,1873,Democratic,0.0,0.0,0.0,1.0,1819.0,1.0,54.0,52508.0,64031.0,84170.0,55964.9,10.932479987490716,0
2158-2793,1876,3,1,5,9,0.3333333333333333,0,0,0,0,1,1,OHIO,1876,Democratic,0.0,0.0,0.0,1.0,1819.0,1.0,57.0,52508.0,64031.0,84170.0,59421.8,10.992416441388476,2
