issn,year,anti_labor,neutral,pro_labor,total_labor,anti_labor_intensity,anti_labor_rr,total_labor_rr
0034-5075,1869,1,0,3,4,0.25,0,0
0034-5075,1870,0,0,1,1,0.0,0,0
0034-5075,1871,0,0,2,2,0.0,0,0
0034-5075,1872,1,0,1,2,0.5,0,0
0034-5075,1873,0,1,0,1,0.0,0,0
0034-5075,1874,1,0,1,2,0.5,0,0
0034-5075,1875,1,0,1,2,0.5,0,0
0034-5075,1877,11,2,1,14,0.7857142857142857,6,6
0034-5075,1878,1,0,1,2,0.5,0,0
0034-5075,1879,0,1,3,4,0.0,0,0
0034-5075,1880,1,0,2,3,0.3333333333333333,0,0
0034-5075,1882,1,2,6,9,0.1111111111111111,1,1
0034-5075,1883,4,2,3,9,0.4444444444444444,0,1
0034-5075,1884,3,1,9,13,0.23076923076923078,0,0
0034-5075,1885,3,1,5,9,0.3333333333333333,0,0
0034-5075,1886,14,22,13,49,0.2857142857142857,2,6
0034-5075,1887,4,19,5,28,0.14285714285714285,1,8
0034-5075,1888,1,16,10,27,0.037037037037037035,0,4
0034-5075,1889,0,1,0,1,0.0,0,0
0739-0149,1886,8,4,0,12,0.6666666666666666,0,2
0739-0149,1887,2,2,3,7,0.2857142857142857,0,0
0739-0149,1888,0,1,3,4,0.0,0,1
0739-0149,1889,4,3,1,8,0.5,1,1
0739-0149,1890,1,0,0,1,1.0,0,0
0744-8457,1869,0,0,2,2,0.0,0,0
0745-0680,1872,0,0,1,1,0.0,0,0
0745-0680,1873,0,0,1,1,0.0,0,0
0745-0680,1875,1,0,1,2,0.5,0,0
0745-0680,1878,0,0,1,1,0.0,0,0
0745-0680,1882,1,0,0,1,1.0,0,0
0745-0680,1883,0,0,1,1,0.0,0,0
0745-0680,1884,0,1,0,1,0.0,0,0
0745-0680,1885,0,0,1,1,0.0,0,0
0745-0680,1886,2,2,6,10,0.2,0,0
0745-0680,1887,0,2,2,4,0.0,0,0
0745-0680,1888,0,1,10,11,0.0,0,0
0745-0680,1889,1,1,2,4,0.25,1,1
0745-0680,1890,0,1,0,1,0.0,0,1
0745-1903,1889,0,0,2,2,0.0,0,0
0745-1903,1890,0,0,1,1,0.0,0,0
0745-7715,1888,1,7,2,10,0.1,0,5
0745-7715,1889,1,3,3,7,0.14285714285714285,0,0
0746-1828,1877,1,0,3,4,0.25,1,1
0746-1828,1878,1,0,0,1,1.0,0,0
0746-1828,1879,1,0,1,2,0.5,0,0
0746-1828,1880,0,1,0,1,0.0,0,0
0746-1828,1882,0,0,6,6,0.0,0,1
0746-1828,1883,2,2,1,5,0.4,0,1
0746-1828,1884,0,1,0,1,0.0,0,0
0746-1828,1885,2,0,1,3,0.6666666666666666,0,0
0746-1828,1886,5,7,9,21,0.23809523809523808,0,1
0746-1828,1887,8,2,4,14,0.5714285714285714,1,1
0747-0118,1879,1,2,1,4,0.25,0,1
0747-0118,1880,0,5,1,6,0.0,0,1
0747-0118,1881,0,1,0,1,0.0,0,0
0747-0118,1882,2,3,15,20,0.1,0,2
0747-0118,1883,4,0,4,8,0.5,0,0
0747-0118,1884,0,0,10,10,0.0,0,0
1046-2058,1869,1,1,0,2,0.5,0,1
1046-2058,1870,1,0,1,2,0.5,0,1
1046-2058,1871,1,1,0,2,0.5,0,1
1046-2058,1872,0,0,3,3,0.0,0,0
1046-2058,1873,0,0,1,1,0.0,0,0
1046-2058,1874,1,3,1,5,0.2,1,4
1046-2058,1875,2,0,0,2,1.0,1,1
1046-2058,1876,0,0,2,2,0.0,0,0
1046-2058,1877,9,3,5,17,0.5294117647058824,7,9
1046-2058,1878,1,0,1,2,0.5,0,0
1046-2058,1879,0,0,1,1,0.0,0,0
1046-2058,1880,0,1,0,1,0.0,0,0
1046-2058,1881,0,1,2,3,0.0,0,2
1046-2058,1882,2,0,2,4,0.5,1,2
1046-2058,1883,1,1,1,3,0.3333333333333333,0,1
1046-2058,1884,4,2,7,13,0.3076923076923077,1,3
1046-2058,1885,0,1,3,4,0.0,0,0
1046-2058,1886,5,8,11,24,0.20833333333333334,1,4
1046-2058,1887,2,0,11,13,0.15384615384615385,0,2
1046-2058,1888,3,1,21,25,0.12,0,2
1046-2058,1890,1,0,3,4,0.25,0,0
1049-6998,1889,1,0,0,1,1.0,0,0
1052-7419,1869,1,0,3,4,0.25,0,0
1052-7419,1870,0,0,2,2,0.0,0,0
1052-7419,1872,1,0,3,4,0.25,0,0
1052-7419,1873,2,0,1,3,0.6666666666666666,0,1
1052-7419,1874,5,0,3,8,0.625,0,0
1052-7419,1875,2,2,0,4,0.5,0,1
1052-7419,1876,1,0,2,3,0.3333333333333333,0,0
1052-7419,1877,5,2,6,13,0.38461538461538464,3,4
